YEAR,TRAIL,PLOT,SAMPLING_UNIT,SUBFAMILY,GENUS,SPECIES,TAXON,FUNCTIONAL_GROUP,N_OF_WORKERS
2006,LO3,500,LO3_0500,Myrmicinae,Solenopsis,castor,Solenopsis_castor,Ground_dwelling_omnivores,4
2006,LO3,500,LO3_0500,Myrmicinae,Strumigenys,denticulata,Strumigenys_denticulata,Ground_dwelling_specialist_predators,2
2006,LO3,500,LO3_0500,Myrmicinae,Wasmannia,auropunctata,Wasmannia_auropunctata,Ground_dwelling_omnivores,1
2006,LO3,500,LO3_0500,Ponerinae,Mayaponera,constricta,Mayaponera_constricta,Ground_dwelling_generalist_predators,3
2006,LO3,1500,LO3_1500,Dorylinae,Neivamyrmex,gibbatus,Neivamyrmex_gibbatus,Raid_hunting_predators,1
2006,LO3,1500,LO3_1500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,21
2006,LO3,1500,LO3_1500,Ectatomminae,Gnamptogenys,horni,Gnamptogenys_horni,Ground_dwelling_generalist_predators,4
2006,LO3,1500,LO3_1500,Ectatomminae,Gnamptogenys,tortuolosa,Gnamptogenys_tortuolosa,Ground_dwelling_generalist_predators,2
2006,LO3,1500,LO3_1500,Formicinae,Camponotus,fastigatus,Camponotus_fastigatus,Arboreal_omnivores,6
2006,LO3,1500,LO3_1500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,8
2006,LO3,1500,LO3_1500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Carebara,urichi,Carebara_urichi,Ground_dwelling_omnivores,3
2006,LO3,1500,LO3_1500,Myrmicinae,Crematogaster,nigropilosa,Crematogaster_nigropilosa,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Crematogaster,sotobosque,Crematogaster_sotobosque,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,136
2006,LO3,1500,LO3_1500,Myrmicinae,Cyphomyrmex,peltatus,Cyphomyrmex_peltatus,Cryptobiotic_attines,4
2006,LO3,1500,LO3_1500,Myrmicinae,Octostruma,balzani,Octostruma_balzani,Ground_dwelling_specialist_predators,2
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,biconstricta,Pheidole_biconstricta,Generalist_omnivores,7
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,cataractae,Pheidole_cataractae,Generalist_omnivores,3
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,flavens,Pheidole_flavens,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_02,Pheidole_sp_02,Generalist_omnivores,2
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_19,Pheidole_sp_19,Generalist_omnivores,6
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_23,Pheidole_sp_23,Generalist_omnivores,3
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_24,Pheidole_sp_24,Generalist_omnivores,3
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_25,Pheidole_sp_25,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_26,Pheidole_sp_26,Generalist_omnivores,6
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_31,Pheidole_sp_31,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_36,Pheidole_sp_36,Generalist_omnivores,12
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_38,Pheidole_sp_38,Generalist_omnivores,5
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_45,Pheidole_sp_45,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Pheidole,sp_51,Pheidole_sp_51,Generalist_omnivores,1
2006,LO3,1500,LO3_1500,Myrmicinae,Sericomyrmex,sp_01,Sericomyrmex_sp_01,Cryptobiotic_attines,5
2006,LO3,1500,LO3_1500,Myrmicinae,Solenopsis,clytemnestra,Solenopsis_clytemnestra,Ground_dwelling_omnivores,2
2006,LO3,1500,LO3_1500,Myrmicinae,Strumigenys,denticulata,Strumigenys_denticulata,Ground_dwelling_specialist_predators,1
2006,LO3,1500,LO3_1500,Myrmicinae,Wasmannia,auropunctata,Wasmannia_auropunctata,Ground_dwelling_omnivores,1
2006,LO3,1500,LO3_1500,Ponerinae,Leptogenys,gaigei,Leptogenys_gaigei,Raid_hunting_predators,2
2006,LO3,1500,LO3_1500,Ponerinae,Odontomachus,brunneus,Odontomachus_brunneus,Ground_dwelling_generalist_predators,1
2006,LO3,1500,LO3_1500,Ponerinae,Pachycondyla,crassinoda,Pachycondyla_crassinoda,Raid_hunting_predators,7
2006,LO3,2500,LO3_2500,Dorylinae,Neivamyrmex,gibbatus,Neivamyrmex_gibbatus,Raid_hunting_predators,1
2006,LO3,2500,LO3_2500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Ectatomminae,Gnamptogenys,horni,Gnamptogenys_horni,Ground_dwelling_generalist_predators,4
2006,LO3,2500,LO3_2500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,5
2006,LO3,2500,LO3_2500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,12
2006,LO3,2500,LO3_2500,Myrmicinae,Apterostigma,sp_03,Apterostigma_sp_03,Cryptobiotic_attines,1
2006,LO3,2500,LO3_2500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,37
2006,LO3,2500,LO3_2500,Myrmicinae,Crematogaster,longispina,Crematogaster_longispina,Arboreal_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Crematogaster,sotobosque,Crematogaster_sotobosque,Generalist_omnivores,2
2006,LO3,2500,LO3_2500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,4
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,biconstricta,Pheidole_biconstricta,Generalist_omnivores,2
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,cataractae,Pheidole_cataractae,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,nitella,Pheidole_nitella,Generalist_omnivores,5
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_02,Pheidole_sp_02,Generalist_omnivores,7
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_15,Pheidole_sp_15,Generalist_omnivores,2
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_16,Pheidole_sp_16,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_28,Pheidole_sp_28,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_36,Pheidole_sp_36,Generalist_omnivores,8
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_37,Pheidole_sp_37,Generalist_omnivores,12
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_50,Pheidole_sp_50,Generalist_omnivores,2
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_52,Pheidole_sp_52,Generalist_omnivores,2
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,sp_53,Pheidole_sp_53,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Pheidole,tortulosa,Pheidole_tortulosa,Generalist_omnivores,1
2006,LO3,2500,LO3_2500,Myrmicinae,Sericomyrmex,sp_01,Sericomyrmex_sp_01,Cryptobiotic_attines,1
2006,LO3,2500,LO3_2500,Myrmicinae,Solenopsis,clytemnestra,Solenopsis_clytemnestra,Ground_dwelling_omnivores,5
2006,LO3,2500,LO3_2500,Myrmicinae,Wasmannia,auropunctata,Wasmannia_auropunctata,Ground_dwelling_omnivores,5
2006,LO3,2500,LO3_2500,Ponerinae,Anochetus,emarginatus,Anochetus_emarginatus,Ground_dwelling_generalist_predators,1
2006,LO3,2500,LO3_2500,Ponerinae,Hypoponera,sp_04,Hypoponera_sp_04,Ground_dwelling_generalist_predators,1
2006,LO3,2500,LO3_2500,Ponerinae,Mayaponera,constricta,Mayaponera_constricta,Ground_dwelling_generalist_predators,2
2006,LO3,2500,LO3_2500,Ponerinae,Pachycondyla,crassinoda,Pachycondyla_crassinoda,Raid_hunting_predators,3
2006,LO3,2500,LO3_2500,Ponerinae,Pachycondyla,harpax,Pachycondyla_harpax,Ground_dwelling_generalist_predators,1
2006,LO3,3500,LO3_3500,Ectatomminae,Gnamptogenys,horni,Gnamptogenys_horni,Ground_dwelling_generalist_predators,2
2006,LO3,3500,LO3_3500,Ectatomminae,Gnamptogenys,tortuolosa,Gnamptogenys_tortuolosa,Ground_dwelling_generalist_predators,4
2006,LO3,3500,LO3_3500,Formicinae,Camponotus,femoratus,Camponotus_femoratus,Arboreal_omnivores,8
2006,LO3,3500,LO3_3500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,2
2006,LO3,3500,LO3_3500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,6
2006,LO3,3500,LO3_3500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Carebara,urichi,Carebara_urichi,Ground_dwelling_omnivores,2
2006,LO3,3500,LO3_3500,Myrmicinae,Crematogaster,brasiliensis,Crematogaster_brasiliensis,Arboreal_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Crematogaster,limata,Crematogaster_limata,Arboreal_omnivores,2
2006,LO3,3500,LO3_3500,Myrmicinae,Crematogaster,sotobosque,Crematogaster_sotobosque,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,41
2006,LO3,3500,LO3_3500,Myrmicinae,Paratrachymyrmex,sp_05,Paratrachymyrmex_sp_05,Leaf_cutters,3
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,fracticeps,Pheidole_fracticeps,Generalist_omnivores,3
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,meinerti,Pheidole_meinerti,Generalist_omnivores,2
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_11,Pheidole_sp_11,Generalist_omnivores,2
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_12,Pheidole_sp_12,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_15,Pheidole_sp_15,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_24,Pheidole_sp_24,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_36,Pheidole_sp_36,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_37,Pheidole_sp_37,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_46,Pheidole_sp_46,Generalist_omnivores,3
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_49,Pheidole_sp_49,Generalist_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_50,Pheidole_sp_50,Generalist_omnivores,3
2006,LO3,3500,LO3_3500,Myrmicinae,Pheidole,sp_54,Pheidole_sp_54,Generalist_omnivores,6
2006,LO3,3500,LO3_3500,Myrmicinae,Solenopsis,castor,Solenopsis_castor,Ground_dwelling_omnivores,1
2006,LO3,3500,LO3_3500,Myrmicinae,Wasmannia,auropunctata,Wasmannia_auropunctata,Ground_dwelling_omnivores,3
2006,LO3,3500,LO3_3500,Ponerinae,Mayaponera,constricta,Mayaponera_constricta,Ground_dwelling_generalist_predators,4
2006,LO3,3500,LO3_3500,Ponerinae,Pachycondyla,harpax,Pachycondyla_harpax,Ground_dwelling_generalist_predators,2
2006,LO3,4500,LO3_4500,Amblyoponinae,Prionopelta,punctulata,Prionopelta_punctulata,Ground_dwelling_specialist_predators,1
2006,LO3,4500,LO3_4500,Dorylinae,Neivamyrmex,orthonotus,Neivamyrmex_orthonotus,Raid_hunting_predators,4
2006,LO3,4500,LO3_4500,Ectatomminae,Ectatomma,edentatum,Ectatomma_edentatum,Generalist_omnivores,2
2006,LO3,4500,LO3_4500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Formicinae,Camponotus,femoratus,Camponotus_femoratus,Arboreal_omnivores,6
2006,LO3,4500,LO3_4500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,4
2006,LO3,4500,LO3_4500,Myrmicinae,Crematogaster,curvispinosa,Crematogaster_curvispinosa,Arboreal_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Crematogaster,limata,Crematogaster_limata,Arboreal_omnivores,3
2006,LO3,4500,LO3_4500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,32
2006,LO3,4500,LO3_4500,Myrmicinae,Ochetomyrmex,semipolitus,Ochetomyrmex_semipolitus,Ground_dwelling_omnivores,11
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,biconstricta,Pheidole_biconstricta,Generalist_omnivores,3
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_11,Pheidole_sp_11,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_19,Pheidole_sp_19,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_24,Pheidole_sp_24,Generalist_omnivores,3
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_37,Pheidole_sp_37,Generalist_omnivores,2
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_38,Pheidole_sp_38,Generalist_omnivores,6
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_46,Pheidole_sp_46,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_50,Pheidole_sp_50,Generalist_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Pheidole,sp_55,Pheidole_sp_55,Generalist_omnivores,7
2006,LO3,4500,LO3_4500,Myrmicinae,Solenopsis,castor,Solenopsis_castor,Ground_dwelling_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Solenopsis,sp_06,Solenopsis_sp_06,Ground_dwelling_omnivores,1
2006,LO3,4500,LO3_4500,Myrmicinae,Strumigenys,denticulata,Strumigenys_denticulata,Ground_dwelling_specialist_predators,2
2006,LO3,4500,LO3_4500,Ponerinae,Mayaponera,constricta,Mayaponera_constricta,Ground_dwelling_generalist_predators,2
2006,LO3,4500,LO3_4500,Ponerinae,Pachycondyla,crassinoda,Pachycondyla_crassinoda,Raid_hunting_predators,2
2006,LO4,500,LO4_0500,Dorylinae,Neivamyrmex,gibbatus,Neivamyrmex_gibbatus,Raid_hunting_predators,4
2006,LO4,500,LO4_0500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,4
2006,LO4,500,LO4_0500,Ectatomminae,Gnamptogenys,acuminata,Gnamptogenys_acuminata,Ground_dwelling_generalist_predators,2
2006,LO4,500,LO4_0500,Ectatomminae,Gnamptogenys,horni,Gnamptogenys_horni,Ground_dwelling_generalist_predators,1
2006,LO4,500,LO4_0500,Ectatomminae,Gnamptogenys,tortuolosa,Gnamptogenys_tortuolosa,Ground_dwelling_generalist_predators,1
2006,LO4,500,LO4_0500,Formicinae,Camponotus,ager,Camponotus_ager,Arboreal_omnivores,1
2006,LO4,500,LO4_0500,Formicinae,Camponotus,fastigatus,Camponotus_fastigatus,Arboreal_omnivores,1
2006,LO4,500,LO4_0500,Formicinae,Camponotus,femoratus,Camponotus_femoratus,Arboreal_omnivores,1
2006,LO4,500,LO4_0500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,4
2006,LO4,500,LO4_0500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,5
2006,LO4,500,LO4_0500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,2
2006,LO4,500,LO4_0500,Myrmicinae,Crematogaster,brasiliensis,Crematogaster_brasiliensis,Arboreal_omnivores,8
2006,LO4,500,LO4_0500,Myrmicinae,Crematogaster,limata,Crematogaster_limata,Arboreal_omnivores,1
2006,LO4,500,LO4_0500,Myrmicinae,Crematogaster,sotobosque,Crematogaster_sotobosque,Generalist_omnivores,1
2006,LO4,500,LO4_0500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,114
2006,LO4,500,LO4_0500,Myrmicinae,Megalomyrmex,sp_02,Megalomyrmex_sp_02,Ground_dwelling_omnivores,14
2006,LO4,500,LO4_0500,Myrmicinae,Myrmicocrypta,sp_01,Myrmicocrypta_sp_01,Cryptobiotic_attines,1
2006,LO4,500,LO4_0500,Myrmicinae,Octostruma,balzani,Octostruma_balzani,Ground_dwelling_specialist_predators,1
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,biconstricta,Pheidole_biconstricta,Generalist_omnivores,2
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,fracticeps,Pheidole_fracticeps,Generalist_omnivores,1
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,meinerti,Pheidole_meinerti,Generalist_omnivores,3
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,nitella,Pheidole_nitella,Generalist_omnivores,9
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_02,Pheidole_sp_02,Generalist_omnivores,16
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_16,Pheidole_sp_16,Generalist_omnivores,3
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_28,Pheidole_sp_28,Generalist_omnivores,9
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_31,Pheidole_sp_31,Generalist_omnivores,4
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_36,Pheidole_sp_36,Generalist_omnivores,3
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_44,Pheidole_sp_44,Generalist_omnivores,44
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_50,Pheidole_sp_50,Generalist_omnivores,5
2006,LO4,500,LO4_0500,Myrmicinae,Pheidole,sp_55,Pheidole_sp_55,Generalist_omnivores,1
2006,LO4,500,LO4_0500,Myrmicinae,Sericomyrmex,sp_01,Sericomyrmex_sp_01,Cryptobiotic_attines,2
2006,LO4,500,LO4_0500,Myrmicinae,Solenopsis,geminata,Solenopsis_geminata,Ground_dwelling_omnivores,12
2006,LO4,500,LO4_0500,Ponerinae,Anochetus,horridus,Anochetus_horridus,Ground_dwelling_generalist_predators,2
2006,LO4,500,LO4_0500,Ponerinae,Hypoponera,sp_04,Hypoponera_sp_04,Ground_dwelling_generalist_predators,3
2006,LO4,500,LO4_0500,Ponerinae,Leptogenys,wheeleri,Leptogenys_wheeleri,Raid_hunting_predators,2
2006,LO4,500,LO4_0500,Ponerinae,Odontomachus,laticeps,Odontomachus_laticeps,Ground_dwelling_generalist_predators,5
2006,LO4,1500,LO4_1500,Ectatomminae,Ectatomma,edentatum,Ectatomma_edentatum,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,10
2006,LO4,1500,LO4_1500,Ectatomminae,Gnamptogenys,horni,Gnamptogenys_horni,Ground_dwelling_generalist_predators,1
2006,LO4,1500,LO4_1500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,3
2006,LO4,1500,LO4_1500,Myrmicinae,Crematogaster,brasiliensis,Crematogaster_brasiliensis,Arboreal_omnivores,6
2006,LO4,1500,LO4_1500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Megalomyrmex,sp_02,Megalomyrmex_sp_02,Ground_dwelling_omnivores,3
2006,LO4,1500,LO4_1500,Myrmicinae,Mycetomoellerius,farinosus,Mycetomoellerius_farinosus,Leaf_cutters,1
2006,LO4,1500,LO4_1500,Myrmicinae,Myrmicocrypta,sp_01,Myrmicocrypta_sp_01,Cryptobiotic_attines,2
2006,LO4,1500,LO4_1500,Myrmicinae,Ochetomyrmex,semipolitus,Ochetomyrmex_semipolitus,Ground_dwelling_omnivores,3
2006,LO4,1500,LO4_1500,Myrmicinae,Paratrachymyrmex,sp_01,Paratrachymyrmex_sp_01,Leaf_cutters,1
2006,LO4,1500,LO4_1500,Myrmicinae,Paratrachymyrmex,sp_05,Paratrachymyrmex_sp_05,Leaf_cutters,2
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,biconstricta,Pheidole_biconstricta,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,fracticeps,Pheidole_fracticeps,Generalist_omnivores,2
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,radoszkowskii,Pheidole_radoszkowskii,Generalist_omnivores,22
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,sp_02,Pheidole_sp_02,Generalist_omnivores,2
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,sp_11,Pheidole_sp_11,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,sp_15,Pheidole_sp_15,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,sp_24,Pheidole_sp_24,Generalist_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,sp_51,Pheidole_sp_51,Generalist_omnivores,2
2006,LO4,1500,LO4_1500,Myrmicinae,Pheidole,tortulosa,Pheidole_tortulosa,Generalist_omnivores,4
2006,LO4,1500,LO4_1500,Myrmicinae,Solenopsis,brevicornis,Solenopsis_brevicornis,Ground_dwelling_omnivores,1
2006,LO4,1500,LO4_1500,Myrmicinae,Solenopsis,clytemnestra,Solenopsis_clytemnestra,Ground_dwelling_omnivores,18
2006,LO4,1500,LO4_1500,Myrmicinae,Solenopsis,sp_06,Solenopsis_sp_06,Ground_dwelling_omnivores,6
2006,LO4,1500,LO4_1500,Myrmicinae,Wasmannia,auropunctata,Wasmannia_auropunctata,Ground_dwelling_omnivores,2
2006,LO4,1500,LO4_1500,Ponerinae,Hypoponera,sp_07,Hypoponera_sp_07,Ground_dwelling_generalist_predators,1
2006,LO4,1500,LO4_1500,Ponerinae,Odontomachus,caelatus,Odontomachus_caelatus,Ground_dwelling_generalist_predators,2
2006,LO4,1500,LO4_1500,Ponerinae,Odontomachus,opaciventris,Odontomachus_opaciventris,Ground_dwelling_generalist_predators,3
2006,LO4,1500,LO4_1500,Ponerinae,Pachycondyla,crassinoda,Pachycondyla_crassinoda,Raid_hunting_predators,1
2006,LO4,2500,LO4_2500,Dorylinae,Labidus,coecus,Labidus_coecus,Raid_hunting_predators,2
2006,LO4,2500,LO4_2500,Dorylinae,Neivamyrmex,gibbatus,Neivamyrmex_gibbatus,Raid_hunting_predators,2
2006,LO4,2500,LO4_2500,Ectatomminae,Ectatomma,edentatum,Ectatomma_edentatum,Generalist_omnivores,3
2006,LO4,2500,LO4_2500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,5
2006,LO4,2500,LO4_2500,Ectatomminae,Gnamptogenys,sulcata,Gnamptogenys_sulcata,Ground_dwelling_omnivores,1
2006,LO4,2500,LO4_2500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,1
2006,LO4,2500,LO4_2500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,5
